lesson_id,topic_tags,scenario_tags,skill_tags,flashcard_tags,standalone_rating,skool_display_title,live_upsell_cta
M02-L006,script; tones; reading foundations,self-paced reading practice,reading; pronunciation,M02; L006; script;pronunciation;reading-entry,3,,false
M02-L007,script; tones; reading foundations,self-paced reading practice,reading; pronunciation,M02; L007; script;pronunciation;reading-entry,3,,false
M02-L008,script; tones; reading foundations,self-paced reading practice,reading; pronunciation,M02; L008; script;pronunciation;reading-entry,3,,false
M02-L009,script; tones; reading foundations,self-paced reading practice,reading; pronunciation,M02; L009; script;pronunciation;reading-entry,3,,false
M02-L010,script; tones; reading foundations,self-paced reading practice,reading; pronunciation,M02; L010; script;pronunciation;reading-entry,1,,true
M03-L001,simple sentences; description; family,casual description,grammar; speaking,M03; L001; sentence-building;grammar;everyday-objects,3,,false
M03-L002,simple sentences; description; family,casual description,grammar; speaking,M03; L002; sentence-building;grammar;everyday-objects,3,,false
M03-L003,simple sentences; description; family,casual description,grammar; speaking,M03; L003; sentence-building;grammar;everyday-objects,3,,false
M03-L004,simple sentences; description; family,casual description,grammar; speaking,M03; L004; sentence-building;grammar;everyday-objects,3,,false
M03-L005,simple sentences; description; family,casual description,grammar; speaking,M03; L005; sentence-building;grammar;everyday-objects,3,,true
M03-L006,simple sentences; description; family,casual description,grammar; speaking,M03; L006; sentence-building;grammar;everyday-objects,3,,false
M03-L007,simple sentences; description; family,casual description,grammar; speaking,M03; L007; sentence-building;grammar;everyday-objects,5,"Thai Pronouns Beyond คุณ: พี่, น้อง, ป้า, ลุง",false
M03-L008,simple sentences; description; family,casual description,grammar; speaking,M03; L008; sentence-building;grammar;everyday-objects,3,,false
M03-L009,simple sentences; description; family,casual description,grammar; speaking,M03; L009; sentence-building;grammar;everyday-objects,3,,false
M03-L010,simple sentences; description; family,casual description,grammar; speaking,M03; L010; sentence-building;grammar;everyday-objects,1,,true
M04-L001,food; ordering; restaurant,restaurant; street food; cafe,speaking; vocabulary,M04; L001; survival;numbers;time;money;movement,3,,false
M04-L002,food; ordering; restaurant,restaurant; street food; cafe,speaking; vocabulary,M04; L002; survival;numbers;time;money;movement,5,How to Order Food and Drinks in Thai,false
M04-L003,food; ordering; restaurant,restaurant; street food; cafe,speaking; vocabulary,M04; L003; survival;numbers;time;money;movement,3,,false
M04-L004,food; ordering; restaurant,restaurant; street food; cafe,speaking; vocabulary,M04; L004; survival;numbers;time;money;movement,3,,false
M04-L005,food; ordering; restaurant,restaurant; street food; cafe,speaking; vocabulary,M04; L005; survival;numbers;time;money;movement,3,,true
M04-L006,food; ordering; restaurant,restaurant; street food; cafe,speaking; vocabulary,M04; L006; survival;numbers;time;money;movement,3,,false
M04-L007,food; ordering; restaurant,restaurant; street food; cafe,speaking; vocabulary,M04; L007; survival;numbers;time;money;movement,5,How to Pay the Bill in Thai (เช็คบิล / คิดเงินด้วย),false
M04-L008,food; ordering; restaurant,restaurant; street food; cafe,speaking; vocabulary,M04; L008; survival;numbers;time;money;movement,3,,false
M04-L009,food; ordering; restaurant,restaurant; street food; cafe,speaking; vocabulary,M04; L009; survival;numbers;time;money;movement,3,,false
M04-L010,food; ordering; restaurant,restaurant; street food; cafe,speaking; vocabulary,M04; L010; survival;numbers;time;money;movement,1,,true
M05-L001,home; daily routines; habits,home; roommates; routines,grammar; speaking,M05; L001; family;home;routine;daily-life,3,,false
M05-L002,home; daily routines; habits,home; roommates; routines,grammar; speaking,M05; L002; family;home;routine;daily-life,3,,false
M05-L003,home; daily routines; habits,home; roommates; routines,grammar; speaking,M05; L003; family;home;routine;daily-life,3,,false
M05-L004,home; daily routines; habits,home; roommates; routines,grammar; speaking,M05; L004; family;home;routine;daily-life,5,"Thai Aspect Markers: กำลัง, อยู่, แล้ว, ยัง",false
M05-L005,home; daily routines; habits,home; roommates; routines,grammar; speaking,M05; L005; family;home;routine;daily-life,5,"Future in Thai with จะ: Plans, Promises, Predictions",true
M05-L006,home; daily routines; habits,home; roommates; routines,grammar; speaking,M05; L006; family;home;routine;daily-life,3,,false
M05-L007,home; daily routines; habits,home; roommates; routines,grammar; speaking,M05; L007; family;home;routine;daily-life,3,,false
M05-L008,home; daily routines; habits,home; roommates; routines,grammar; speaking,M05; L008; family;home;routine;daily-life,3,,false
M05-L009,home; daily routines; habits,home; roommates; routines,grammar; speaking,M05; L009; family;home;routine;daily-life,3,,false
M05-L010,home; daily routines; habits,home; roommates; routines,grammar; speaking,M05; L010; family;home;routine;daily-life,1,,true
M06-L001,questions; repair; clarification,clarification; misheard phrases,listening; repair,M06; L001; repair;questions;signs;menus,3,,false
M06-L002,questions; repair; clarification,clarification; misheard phrases,listening; repair,M06; L002; repair;questions;signs;menus,3,,false
M06-L003,questions; repair; clarification,clarification; misheard phrases,listening; repair,M06; L003; repair;questions;signs;menus,3,,false
M06-L004,questions; repair; clarification,clarification; misheard phrases,listening; repair,M06; L004; repair;questions;signs;menus,3,,false
M06-L005,questions; repair; clarification,clarification; misheard phrases,listening; repair,M06; L005; repair;questions;signs;menus,3,,true
M06-L006,questions; repair; clarification,clarification; misheard phrases,listening; repair,M06; L006; repair;questions;signs;menus,3,,false
M06-L007,questions; repair; clarification,clarification; misheard phrases,listening; repair,M06; L007; repair;questions;signs;menus,3,,false
M06-L008,questions; repair; clarification,clarification; misheard phrases,listening; repair,M06; L008; repair;questions;signs;menus,3,,false
M06-L009,questions; repair; clarification,clarification; misheard phrases,listening; repair,M06; L009; repair;questions;signs;menus,5,Thai Sentence Particles: นะ สิ ล่ะ เถอะ แหละ เนอะ,false
M06-L010,questions; repair; clarification,clarification; misheard phrases,listening; repair,M06; L010; repair;questions;signs;menus,1,,true
M07-L001,reading fluency; handwriting; literacy,reading aloud; handwriting practice,reading; writing; pronunciation,M07; L001; reading;pronunciation;fluency,3,,false
M07-L002,reading fluency; handwriting; literacy,reading aloud; handwriting practice,reading; writing; pronunciation,M07; L002; reading;pronunciation;fluency,3,,false
M07-L003,reading fluency; handwriting; literacy,reading aloud; handwriting practice,reading; writing; pronunciation,M07; L003; reading;pronunciation;fluency,3,,false
M07-L004,reading fluency; handwriting; literacy,reading aloud; handwriting practice,reading; writing; pronunciation,M07; L004; reading;pronunciation;fluency,3,,false
M07-L005,reading fluency; handwriting; literacy,reading aloud; handwriting practice,reading; writing; pronunciation,M07; L005; reading;pronunciation;fluency,3,,true
M07-L006,reading fluency; handwriting; literacy,reading aloud; handwriting practice,reading; writing; pronunciation,M07; L006; reading;pronunciation;fluency,3,,false
M07-L007,reading fluency; handwriting; literacy,reading aloud; handwriting practice,reading; writing; pronunciation,M07; L007; reading;pronunciation;fluency,3,,false
M07-L008,reading fluency; handwriting; literacy,reading aloud; handwriting practice,reading; writing; pronunciation,M07; L008; reading;pronunciation;fluency,3,,false
M07-L009,reading fluency; handwriting; literacy,reading aloud; handwriting practice,reading; writing; pronunciation,M07; L009; reading;pronunciation;fluency,5,,true
M07-L010,reading fluency; handwriting; literacy,reading aloud; handwriting practice,reading; writing; pronunciation,M07; L010; reading;pronunciation;fluency,1,,true
M08-L001,shopping; markets; transactions,market; 7-Eleven; shopping mall,speaking; vocabulary,M08; L001; food;shopping;market;restaurant,3,,false
M08-L002,shopping; markets; transactions,market; 7-Eleven; shopping mall,speaking; vocabulary,M08; L002; food;shopping;market;restaurant,3,,false
M08-L003,shopping; markets; transactions,market; 7-Eleven; shopping mall,speaking; vocabulary,M08; L003; food;shopping;market;restaurant,3,,false
M08-L004,shopping; markets; transactions,market; 7-Eleven; shopping mall,speaking; vocabulary,M08; L004; food;shopping;market;restaurant,3,,false
M08-L005,shopping; markets; transactions,market; 7-Eleven; shopping mall,speaking; vocabulary,M08; L005; food;shopping;market;restaurant,3,,true
M08-L006,shopping; markets; transactions,market; 7-Eleven; shopping mall,speaking; vocabulary,M08; L006; food;shopping;market;restaurant,5,"Thai for Taxis, Grab, Bolt, BTS & MRT",false
M08-L007,shopping; markets; transactions,market; 7-Eleven; shopping mall,speaking; vocabulary,M08; L007; food;shopping;market;restaurant,3,,false
M08-L008,shopping; markets; transactions,market; 7-Eleven; shopping mall,speaking; vocabulary,M08; L008; food;shopping;market;restaurant,3,,false
M08-L009,shopping; markets; transactions,market; 7-Eleven; shopping mall,speaking; vocabulary,M08; L009; food;shopping;market;restaurant,3,,false
M08-L010,shopping; markets; transactions,market; 7-Eleven; shopping mall,speaking; vocabulary,M08; L010; food;shopping;market;restaurant,1,,true
M09-L001,travel; transport; accommodation,taxi; Grab; BTS; airport; hotel,speaking; listening,M09; L001; travel;transport;accommodation,5,How to Take a Taxi or Grab in Thai,false
M09-L002,travel; transport; accommodation,taxi; Grab; BTS; airport; hotel,speaking; listening,M09; L002; travel;transport;accommodation,3,,false
M09-L003,travel; transport; accommodation,taxi; Grab; BTS; airport; hotel,speaking; listening,M09; L003; travel;transport;accommodation,3,,false
M09-L004,travel; transport; accommodation,taxi; Grab; BTS; airport; hotel,speaking; listening,M09; L004; travel;transport;accommodation,3,,false
M09-L005,travel; transport; accommodation,taxi; Grab; BTS; airport; hotel,speaking; listening,M09; L005; travel;transport;accommodation,5,How to Book and Check Into a Thai Hotel,true
M09-L006,travel; transport; accommodation,taxi; Grab; BTS; airport; hotel,speaking; listening,M09; L006; travel;transport;accommodation,3,,false
M09-L007,travel; transport; accommodation,taxi; Grab; BTS; airport; hotel,speaking; listening,M09; L007; travel;transport;accommodation,3,,false
M09-L008,travel; transport; accommodation,taxi; Grab; BTS; airport; hotel,speaking; listening,M09; L008; travel;transport;accommodation,3,,false
M09-L009,travel; transport; accommodation,taxi; Grab; BTS; airport; hotel,speaking; listening,M09; L009; travel;transport;accommodation,3,,false
M09-L010,travel; transport; accommodation,taxi; Grab; BTS; airport; hotel,speaking; listening,M09; L010; travel;transport;accommodation,1,,true
M10-L001,time; aspect; storytelling; conditionals,telling stories; making plans,grammar; narrative,M10; L001; past;future;experience;stories,5,Talking About the Future in Thai: จะ in Stories and Plans,false
M10-L002,time; aspect; storytelling; conditionals,telling stories; making plans,grammar; narrative,M10; L002; past;future;experience;stories,5,เคย: How to Say 'I've Done It Before' in Thai,false
M10-L003,time; aspect; storytelling; conditionals,telling stories; making plans,grammar; narrative,M10; L003; past;future;experience;stories,5,Real Conditionals in Thai: ถ้า ... ก็ ...,false
M10-L004,time; aspect; storytelling; conditionals,telling stories; making plans,grammar; narrative,M10; L004; past;future;experience;stories,3,,false
M10-L005,time; aspect; storytelling; conditionals,telling stories; making plans,grammar; narrative,M10; L005; past;future;experience;stories,3,,true
M10-L006,time; aspect; storytelling; conditionals,telling stories; making plans,grammar; narrative,M10; L006; past;future;experience;stories,3,,false
M10-L007,time; aspect; storytelling; conditionals,telling stories; making plans,grammar; narrative,M10; L007; past;future;experience;stories,3,,false
M10-L008,time; aspect; storytelling; conditionals,telling stories; making plans,grammar; narrative,M10; L008; past;future;experience;stories,3,,false
M10-L009,time; aspect; storytelling; conditionals,telling stories; making plans,grammar; narrative,M10; L009; past;future;experience;stories,3,,false
M10-L010,time; aspect; storytelling; conditionals,telling stories; making plans,grammar; narrative,M10; L010; past;future;experience;stories,1,,true
M11-L001,money; counting; bills,paying bills; counting money,speaking; numeracy,M11; L001; social;feelings;opinions;relationships,3,,false
M11-L002,money; counting; bills,paying bills; counting money,speaking; numeracy,M11; L002; social;feelings;opinions;relationships,3,,false
M11-L003,money; counting; bills,paying bills; counting money,speaking; numeracy,M11; L003; social;feelings;opinions;relationships,3,,false
M11-L004,money; counting; bills,paying bills; counting money,speaking; numeracy,M11; L004; social;feelings;opinions;relationships,3,,false
M11-L005,money; counting; bills,paying bills; counting money,speaking; numeracy,M11; L005; social;feelings;opinions;relationships,3,,true
M11-L006,money; counting; bills,paying bills; counting money,speaking; numeracy,M11; L006; social;feelings;opinions;relationships,3,,false
M11-L007,money; counting; bills,paying bills; counting money,speaking; numeracy,M11; L007; social;feelings;opinions;relationships,3,,false
M11-L008,money; counting; bills,paying bills; counting money,speaking; numeracy,M11; L008; social;feelings;opinions;relationships,3,,false
M11-L009,money; counting; bills,paying bills; counting money,speaking; numeracy,M11; L009; social;feelings;opinions;relationships,3,,false
M11-L010,money; counting; bills,paying bills; counting money,speaking; numeracy,M11; L010; social;feelings;opinions;relationships,1,,true
M12-L001,healthcare; services; emergencies,clinic; pharmacy; bank; post office,speaking; comprehension,M12; L001; work;study;services;housing;clinic,3,,false
M12-L002,healthcare; services; emergencies,clinic; pharmacy; bank; post office,speaking; comprehension,M12; L002; work;study;services;housing;clinic,3,,false
M12-L003,healthcare; services; emergencies,clinic; pharmacy; bank; post office,speaking; comprehension,M12; L003; work;study;services;housing;clinic,3,,false
M12-L004,healthcare; services; emergencies,clinic; pharmacy; bank; post office,speaking; comprehension,M12; L004; work;study;services;housing;clinic,5,"Thai for Small Emergencies (7-Eleven, Clinic, Pharmacy)",false
M12-L005,healthcare; services; emergencies,clinic; pharmacy; bank; post office,speaking; comprehension,M12; L005; work;study;services;housing;clinic,3,,true
M12-L006,healthcare; services; emergencies,clinic; pharmacy; bank; post office,speaking; comprehension,M12; L006; work;study;services;housing;clinic,3,,false
M12-L007,healthcare; services; emergencies,clinic; pharmacy; bank; post office,speaking; comprehension,M12; L007; work;study;services;housing;clinic,3,,false
M12-L008,healthcare; services; emergencies,clinic; pharmacy; bank; post office,speaking; comprehension,M12; L008; work;study;services;housing;clinic,3,,false
M12-L009,healthcare; services; emergencies,clinic; pharmacy; bank; post office,speaking; comprehension,M12; L009; work;study;services;housing;clinic,3,,false
M12-L010,healthcare; services; emergencies,clinic; pharmacy; bank; post office,speaking; comprehension,M12; L010; work;study;services;housing;clinic,1,,true
M13-L001,narration; explanation; connectors,giving opinions; retelling; arguing,grammar; narrative,M13; L001; narration;explanation;discourse,3,,false
M13-L002,narration; explanation; connectors,giving opinions; retelling; arguing,grammar; narrative,M13; L002; narration;explanation;discourse,3,,false
M13-L003,narration; explanation; connectors,giving opinions; retelling; arguing,grammar; narrative,M13; L003; narration;explanation;discourse,3,,false
M13-L004,narration; explanation; connectors,giving opinions; retelling; arguing,grammar; narrative,M13; L004; narration;explanation;discourse,5,Thai Relative Clauses with ที่,false
M13-L005,narration; explanation; connectors,giving opinions; retelling; arguing,grammar; narrative,M13; L005; narration;explanation;discourse,3,,true
M13-L006,narration; explanation; connectors,giving opinions; retelling; arguing,grammar; narrative,M13; L006; narration;explanation;discourse,3,,false
M13-L007,narration; explanation; connectors,giving opinions; retelling; arguing,grammar; narrative,M13; L007; narration;explanation;discourse,3,,false
M13-L008,narration; explanation; connectors,giving opinions; retelling; arguing,grammar; narrative,M13; L008; narration;explanation;discourse,3,,false
M13-L009,narration; explanation; connectors,giving opinions; retelling; arguing,grammar; narrative,M13; L009; narration;explanation;discourse,3,,false
M13-L010,narration; explanation; connectors,giving opinions; retelling; arguing,grammar; narrative,M13; L010; narration;explanation;discourse,1,,true
M14-L001,complaints; problems; stress,complaining; apologising; negotiating,speaking; pragmatics,M14; L001; problems;complaints;emergencies,3,,false
M14-L002,complaints; problems; stress,complaining; apologising; negotiating,speaking; pragmatics,M14; L002; problems;complaints;emergencies,3,,false
M14-L003,complaints; problems; stress,complaining; apologising; negotiating,speaking; pragmatics,M14; L003; problems;complaints;emergencies,3,,false
M14-L004,complaints; problems; stress,complaining; apologising; negotiating,speaking; pragmatics,M14; L004; problems;complaints;emergencies,3,,false
M14-L005,complaints; problems; stress,complaining; apologising; negotiating,speaking; pragmatics,M14; L005; problems;complaints;emergencies,3,,true
M14-L006,complaints; problems; stress,complaining; apologising; negotiating,speaking; pragmatics,M14; L006; problems;complaints;emergencies,3,,false
M14-L007,complaints; problems; stress,complaining; apologising; negotiating,speaking; pragmatics,M14; L007; problems;complaints;emergencies,5,เกรงใจ: How to Say No Politely in Thai,false
M14-L008,complaints; problems; stress,complaining; apologising; negotiating,speaking; pragmatics,M14; L008; problems;complaints;emergencies,3,,false
M14-L009,complaints; problems; stress,complaining; apologising; negotiating,speaking; pragmatics,M14; L009; problems;complaints;emergencies,3,,false
M14-L010,complaints; problems; stress,complaining; apologising; negotiating,speaking; pragmatics,M14; L010; problems;complaints;emergencies,1,,true
M15-L001,rental; housing; neighbours,renting; landlord; utilities; repairs,speaking; comprehension,M15; L001; formal;administrative;documents;requests,3,,false
M15-L002,rental; housing; neighbours,renting; landlord; utilities; repairs,speaking; comprehension,M15; L002; formal;administrative;documents;requests,3,,false
M15-L003,rental; housing; neighbours,renting; landlord; utilities; repairs,speaking; comprehension,M15; L003; formal;administrative;documents;requests,3,,false
M15-L004,rental; housing; neighbours,renting; landlord; utilities; repairs,speaking; comprehension,M15; L004; formal;administrative;documents;requests,3,,false
M15-L005,rental; housing; neighbours,renting; landlord; utilities; repairs,speaking; comprehension,M15; L005; formal;administrative;documents;requests,3,,true
M15-L006,rental; housing; neighbours,renting; landlord; utilities; repairs,speaking; comprehension,M15; L006; formal;administrative;documents;requests,5,How to Talk to Your Thai Landlord,true
M15-L007,rental; housing; neighbours,renting; landlord; utilities; repairs,speaking; comprehension,M15; L007; formal;administrative;documents;requests,3,,false
M15-L008,rental; housing; neighbours,renting; landlord; utilities; repairs,speaking; comprehension,M15; L008; formal;administrative;documents;requests,3,,false
M15-L009,rental; housing; neighbours,renting; landlord; utilities; repairs,speaking; comprehension,M15; L009; formal;administrative;documents;requests,3,,false
M15-L010,rental; housing; neighbours,renting; landlord; utilities; repairs,speaking; comprehension,M15; L010; formal;administrative;documents;requests,1,,true
M16-L001,media; digital; culture,LINE; Instagram; TikTok; social media,reading; pragmatics,M16; L001; media;digital;culture;etiquette,3,,false
M16-L002,media; digital; culture,LINE; Instagram; TikTok; social media,reading; pragmatics,M16; L002; media;digital;culture;etiquette,3,,false
M16-L003,media; digital; culture,LINE; Instagram; TikTok; social media,reading; pragmatics,M16; L003; media;digital;culture;etiquette,3,,false
M16-L004,media; digital; culture,LINE; Instagram; TikTok; social media,reading; pragmatics,M16; L004; media;digital;culture;etiquette,3,,false
M16-L005,media; digital; culture,LINE; Instagram; TikTok; social media,reading; pragmatics,M16; L005; media;digital;culture;etiquette,3,,true
M16-L006,media; digital; culture,LINE; Instagram; TikTok; social media,reading; pragmatics,M16; L006; media;digital;culture;etiquette,3,,false
M16-L007,media; digital; culture,LINE; Instagram; TikTok; social media,reading; pragmatics,M16; L007; media;digital;culture;etiquette,5,"Thai on LINE, IG and TikTok: Digital Register Guide",false
M16-L008,media; digital; culture,LINE; Instagram; TikTok; social media,reading; pragmatics,M16; L008; media;digital;culture;etiquette,3,,false
M16-L009,media; digital; culture,LINE; Instagram; TikTok; social media,reading; pragmatics,M16; L009; media;digital;culture;etiquette,3,,false
M16-L010,media; digital; culture,LINE; Instagram; TikTok; social media,reading; pragmatics,M16; L010; media;digital;culture;etiquette,1,,true
M17-L001,work; office; professional,meetings; emails; colleagues,speaking; writing,M17; L001; professional;abstract;persuasion;hypothetical,3,,false
M17-L002,work; office; professional,meetings; emails; colleagues,speaking; writing,M17; L002; professional;abstract;persuasion;hypothetical,3,,false
M17-L003,work; office; professional,meetings; emails; colleagues,speaking; writing,M17; L003; professional;abstract;persuasion;hypothetical,3,,false
M17-L004,work; office; professional,meetings; emails; colleagues,speaking; writing,M17; L004; professional;abstract;persuasion;hypothetical,3,,false
M17-L005,work; office; professional,meetings; emails; colleagues,speaking; writing,M17; L005; professional;abstract;persuasion;hypothetical,3,,true
M17-L006,work; office; professional,meetings; emails; colleagues,speaking; writing,M17; L006; professional;abstract;persuasion;hypothetical,3,,false
M17-L007,work; office; professional,meetings; emails; colleagues,speaking; writing,M17; L007; professional;abstract;persuasion;hypothetical,3,,false
M17-L008,work; office; professional,meetings; emails; colleagues,speaking; writing,M17; L008; professional;abstract;persuasion;hypothetical,3,,false
M17-L009,work; office; professional,meetings; emails; colleagues,speaking; writing,M17; L009; professional;abstract;persuasion;hypothetical,3,,false
M17-L010,work; office; professional,meetings; emails; colleagues,speaking; writing,M17; L010; professional;abstract;persuasion;hypothetical,1,,true
M18-L001,advanced conversation; nuance; capstone,nuanced conversation; final capstone,speaking; listening; comprehension,M18; L001; capstone;consolidation;B2-performance,3,,false
M18-L002,advanced conversation; nuance; capstone,nuanced conversation; final capstone,speaking; listening; comprehension,M18; L002; capstone;consolidation;B2-performance,3,,false
M18-L003,advanced conversation; nuance; capstone,nuanced conversation; final capstone,speaking; listening; comprehension,M18; L003; capstone;consolidation;B2-performance,3,,false
M18-L004,advanced conversation; nuance; capstone,nuanced conversation; final capstone,speaking; listening; comprehension,M18; L004; capstone;consolidation;B2-performance,3,,false
M18-L005,advanced conversation; nuance; capstone,nuanced conversation; final capstone,speaking; listening; comprehension,M18; L005; capstone;consolidation;B2-performance,3,,true
M18-L006,advanced conversation; nuance; capstone,nuanced conversation; final capstone,speaking; listening; comprehension,M18; L006; capstone;consolidation;B2-performance,3,,false
M18-L007,advanced conversation; nuance; capstone,nuanced conversation; final capstone,speaking; listening; comprehension,M18; L007; capstone;consolidation;B2-performance,3,,false
M18-L008,advanced conversation; nuance; capstone,nuanced conversation; final capstone,speaking; listening; comprehension,M18; L008; capstone;consolidation;B2-performance,3,,false
M18-L009,advanced conversation; nuance; capstone,nuanced conversation; final capstone,speaking; listening; comprehension,M18; L009; capstone;consolidation;B2-performance,5,Speaking Thai at B2: Capstone Conversation,true
M18-L010,advanced conversation; nuance; capstone,nuanced conversation; final capstone,speaking; listening; comprehension,M18; L010; capstone;consolidation;B2-performance,1,,true
