lesson_id,module_id,stage_id,cefr_band,module_title,lesson_title,status,lesson_primary_outcome,lesson_secondary_outcome,grammar_function_primary,grammar_function_secondary,new_vocab_core,new_chunks_core,review_vocab_required,targets,lesson_quiz_focus,prereq_lessons,notes
M02-L001,M02,S1,A0,"Sounds, Script, and Reading Entry",How Thai Sounds Work,draft,"Learner can hear Thai as a tone language and notice consonant, vowel, and tone contrasts.",Learner can recycle recent vocabulary while using minimal-pair listening in short controlled output.,sound inventory orientation,minimal-pair listening,เสียง = sound; พยัญชนะ = consonant; สระ = vowel; วรรณยุกต์ = tone mark; พยางค์ = syllable; สูง = high; ต่ำ = low,"ภาษาไทยมีห้าเสียง = Thai has five tones; ฟังแล้วเลือก = listen and choose; เสียงต่างกัน ความหมายต่างกัน = different sound, different meaning",เพื่อน = friend; ครู = teacher; อายุ = age; ปี = year; ทบทวน = review; คำถาม = question,"Recognize the Thai terms for consonant, vowel, tone, and syllable.|Distinguish basic sound categories and tone contrast in isolated words.|Say what part of the Thai sound system a word belongs to.|",Foundational listening discrimination for Thai sound categories.,,Entry dialogue lesson. Seed the module's central real-world situation with high-utility chunks.
M02-L002,M02,S1,A0,"Sounds, Script, and Reading Entry",Mid-Class Consonants,draft,Learner can recognize and read the core mid-class consonants used in beginner Thai.,Learner can recycle recent vocabulary while using sound-symbol mapping in short controlled output.,mid-class consonants,sound-symbol mapping,ก = g; จ = j; ฎ = d; ฏ = dt; ด = d; ต = dt; บ = b; ป = bp,ก ไก่ = g consonant; ด เด็ก = d consonant; ป ปลา = bp consonant,เสียง = sound; พยัญชนะ = consonant; สระ = vowel; วรรณยุกต์ = tone mark,Read and trace the most useful mid-class consonants in isolation.|Hear initial consonant contrasts in simple syllables.|Pronounce and identify core mid-class consonants.|,Mid-class consonant recognition and initial-sound control.,,Primary pattern lesson. Keep output controlled and highly scaffolded.
M02-L003,M02,S1,A0,"Sounds, Script, and Reading Entry",High and Low Classes,draft,Learner can notice the high-class and low-class groups that later affect tone reading.,Learner can recycle recent vocabulary while using class comparison in short controlled output.,consonant classes,class comparison,ข = kh; ฉ = ch; ถ = th; ผ = ph; ฝ = f; ค = kh; พ = ph,พยัญชนะชั้นสูง = high-class consonants; พยัญชนะชั้นต่ำ = low-class consonants; จำกลุ่มเสียง = remember the sound groups,สระ = vowel; วรรณยุกต์ = tone mark; ก = g; จ = j; ฎ = d; ฏ = dt,Recognize key high-class and low-class letters visually.|Hear the difference between aspirated and unaspirated initials.|Sort beginner consonants into class groups.|,Consonant-class awareness for later tone reading.,,Primary pattern lesson. Expand range while reusing lesson 1-2 vocabulary.
M02-L004,M02,S1,A0,"Sounds, Script, and Reading Entry",Core Vowels I,draft,Learner can read and pronounce the most common short and long vowels.,Learner can recycle recent vocabulary while using vowel placement around consonants in short controlled output.,short vs long vowel contrast,vowel placement around consonants,อะ = short a; อา = long aa; อิ = short i; อี = long ii; อุ = short u; อู = long uu; เอ = ee,"สั้นกับยาว = short versus long; สระอยู่รอบพยัญชนะ = vowels sit around consonants; ยาวกว่า ความหมายเปลี่ยน = longer vowel, meaning changes",ฎ = d; ฏ = dt; ข = kh; ฉ = ch; ถ = th; ผ = ph,"Track where Thai vowels appear before, after, above, or below consonants.|Hear short/long vowel contrasts in controlled pairs.|Read simple syllables with core beginner vowels.|",Core vowel recognition and length contrast.,,Vocabulary system lesson. Widen usable lexicon without adding major new complexity.
M02-L005,M02,S1,A0,"Sounds, Script, and Reading Entry",Core Vowels II,draft,Learner can expand to the common front and rounded vowels used in everyday words.,Learner can recycle recent vocabulary while using vowel contrast drills in short controlled output.,additional vowel patterns,vowel contrast drills,แอ = aae; โอ = ooh; เออ = eer/euu family; ออ = aaw; เอีย = iia; อัว = uaa; เอา = ao,แอ กับ เอ = compare แอ and เอ; ออ กับ โอ = compare ออ and โอ; ฟังแล้วชี้สระ = listen and point to the vowel,ถ = th; ผ = ph; อะ = short a; อา = long aa; อิ = short i; อี = long ii,Recognize common long-vowel families in high-frequency words.|Differentiate similar vowels that often confuse beginners.|Read and repeat simple words with the expanded vowel set.|,Extended vowel discrimination and controlled production.,,Vocabulary system lesson. Contrast and sort related items for fast retrieval.
M02-L006,M02,S1,A0,"Sounds, Script, and Reading Entry",Tone Marks and Live/Dead Basics,draft,Learner can understand the idea of tone marks and why some syllables behave differently.,Learner can recycle recent vocabulary while using live vs dead syllable concept in short controlled output.,tone marks overview,live vs dead syllable concept,ไม้เอก = low tone mark; ไม้โท = falling tone mark; ไม้ตรี = high tone mark; ไม้จัตวา = rising tone mark; คำเป็น = live syllable; คำตาย = dead syllable; เสียงกลาง = mid tone,มีไม้หรือไม่มีไม้ = with or without tone mark; คำเป็น คำตาย = live and dead syllables; ดูชั้นพยัญชนะก่อน = check the consonant class first,อิ = short i; อี = long ii; แอ = aae; โอ = ooh; เออ = eer/euu family; ออ = aaw,Read the names of the four tone marks and the live/dead labels.|Hear how tone-marked and unmarked syllables differ.|Explain the first-step logic of Thai tone reading.|,Tone-mark awareness and live/dead syllable recognition.,,Integration lesson. Fold prior vocabulary into short reading and speaking turns.
M02-L007,M02,S1,A0,"Sounds, Script, and Reading Entry",Reading First Syllables,draft,Learner can blend consonants and vowels into short readable syllables.,Learner can recycle recent vocabulary while using guided decoding in short controlled output.,CV and CVC blending,guided decoding,กา = kaa; กิ = gi; กู = guu; มา = maa; มี = mii; ดู = duu; ไป = bpai,อ่านทีละพยางค์ = read one syllable at a time; ดูพยัญชนะก่อน = look at the consonant first; แล้วใส่สระ = then add the vowel,เออ = eer/euu family; ออ = aaw; ไม้เอก = low tone mark; ไม้โท = falling tone mark; ไม้ตรี = high tone mark; ไม้จัตวา = rising tone mark,Read simple consonant-vowel combinations with support.|Match heard syllables to printed Thai forms.|Decode beginner Thai syllables aloud step by step.|,Guided syllable blending from consonant and vowel patterns.,,Integration lesson. Push recall with slightly longer turns and lighter support.
M02-L008,M02,S1,A0,"Sounds, Script, and Reading Entry",Minimal Pairs and Tone Hearing,draft,Learner can notice vowel and tone differences that change meaning.,Learner can recycle recent vocabulary while using contrastive listening in short controlled output.,minimal pairs,contrastive listening,ไก่ = chicken; ไข่ = egg; ใกล้ = near; ไกล = far; ขา = leg; ค่า = fee / value; ข่าว = news,ฟังแล้วเลือกคำ = listen and choose the word; เสียงไม่เหมือนกัน = the sounds are not the same; ความหมายเปลี่ยนเลย = the meaning changes completely,ไม้ตรี = high tone mark; ไม้จัตวา = rising tone mark; กา = kaa; กิ = gi; กู = guu; มา = maa,Read high-frequency minimal-pair words already modeled in the course.|Discriminate tone and vowel changes in short word sets.|Repeat and contrast pairs that sound similar to beginners.|,Minimal-pair listening tied to script awareness.,,"Listening lesson. Focus on recognition in connected, more natural speech."
M02-L009,M02,S1,A0,"Sounds, Script, and Reading Entry",Read Your First Useful Words,draft,Learner can read a short set of everyday Thai words without relying only on transliteration.,Learner can recycle recent vocabulary while using reading confidence build in short controlled output.,word decoding,reading confidence build,น้ำ = water; ชา = tea; กาแฟ = coffee; รถ = vehicle; คน = person; บ้าน = house; ไทย = Thai,อ่านได้แล้ว = you can read it now; ค่อยๆ อ่าน = read slowly; อ่านเองหนึ่งรอบ = read it yourself once,กู = guu; มา = maa; ไก่ = chicken; ไข่ = egg; ใกล้ = near; ไกล = far,Read real beginner words rather than isolated syllables only.|Recognize everyday script forms in slow teacher-led reading.|Read a short useful-word list with confidence and support.|,Transfer script knowledge from drills to real words.,,Scenario production lesson. Require active use under realistic constraints. spaced-review: คน spaced-review: ไทย
M02-L010,M02,S1,A0,"Sounds, Script, and Reading Entry",Your Five Tones in Your Voice,draft,"You can produce all five Thai tones in isolation and in simple words, with self-check against Nine's model.","You can hear the tone you just produced, compare it to the target, and correct on the second try.",tone production across all five tones,tone self-monitoring via minimal-pair contrast,ตัวอักษร = letter; อ่าน = read; ฟัง = listen; ออกเสียง = pronounce; เลือกคำตอบ = choose the answer; จำแนก = distinguish; ทดสอบ = test,อ่านแล้วตอบ = read and answer; ฟังแล้วจำแนก = listen and distinguish; ทบทวนเสียงและสระ = review sounds and vowels,ใกล้ = near; ไกล = far; น้ำ = water; ชา = tea; กาแฟ = coffee; รถ = vehicle,"Read mixed sound-system and script labels in Thai.|Recognize consonants, vowels, and first words in quiz-style prompts.|Complete short decoding tasks before the module quiz.|",record-and-compare tone production on 5 minimal pairs; self-score with Nine's reference audio,,"Recap lesson. Consolidate the module, route into module quiz, and tag flashcards. quiz rolls into module-level quiz, recap absorbed by module landing card. W2a-shell: old 'Module 2 Recap and Quiz'; quiz rolls into module-level quiz, recap absorbed by module landing card"
M03-L001,M03,S1,A1,Building Simple Sentences,"This, That, and What Is It?",draft,Learner can identify objects and ask what something is in simple Thai.,Learner can recycle recent vocabulary while using identity frame with คือ in short controlled output.,demonstratives นี่/นั่น,identity frame with คือ,นี่ = this; นั่น = that; อันนี้ = this one; อันนั้น = that one; อะไร = what; หนังสือ = book; โทรศัพท์ = phone,นี่คืออะไร = what is this?; อันนี้คือ... = this one is ...; อันนั้นไม่ใช่... = that one is not ...,ไก่ = chicken; ไข่ = egg; น้ำ = water; ชา = tea; ตัวอักษร = letter; อ่าน = read,Read object labels and demonstratives in short question-answer cards.|Recognize object-identification questions in slow Thai.|Point to objects and identify them in short turns.|,Demonstratives and object-identification with คือ.,,Entry dialogue lesson. Seed the module's central real-world situation with high-utility chunks. spaced-review: นี่ spaced-review: นั่น spaced-review: อะไร
M03-L002,M03,S1,A1,Building Simple Sentences,Pronouns and Omission,draft,Learner can choose simple pronouns naturally and notice when Thai drops them.,Learner can recycle recent vocabulary while using context-based reference in short controlled output.,pronouns and subject omission,context-based reference,เรา = we / I (casual); เขา = he / she; มัน = it; พวกเรา = we; พวกเขา = they; เอง = self / oneself; ด้วย = too / also,ฉันก็...ด้วย = I ... too; เขาไม่อยู่ = he/she is not here; ไม่ต้องพูดทุกครั้ง = you do not need to say it every time,นี่ = this; นั่น = that; อันนี้ = this one; อันนั้น = that one,See how Thai can omit subjects when context is clear.|Notice who is being referred to even when pronouns disappear.|Use or omit pronouns naturally in short exchanges.|,Pronoun choice and subject omission in beginner Thai.,,Primary pattern lesson. Keep output controlled and highly scaffolded. spaced-review: เขา
M03-L003,M03,S1,A1,Building Simple Sentences,Have and There Is with มี,draft,Learner can say what you have and what exists in a place.,Learner can recycle recent vocabulary while using location frame with อยู่ in short controlled output.,มี for have / there is,location frame with อยู่,มี = have / there is; ไม่มี = do not have / there is no; โต๊ะ = table; เก้าอี้ = chair; รถ = car; เงิน = money; เวลา = time,ฉันมี... = I have ...; ที่นี่มี...ไหม = is there ... here?; ไม่มีเวลา = I do not have time,อันนี้ = this one; อันนั้น = that one; เรา = we / I (casual); เขา = he / she; มัน = it; พวกเรา = we,"Read short lines built around มี and ไม่มี.|Recognize possession and existence statements in beginner speech.|Say what you have, need, or cannot find.|",Core function of มี in possession and existence.,,Primary pattern lesson. Expand range while reusing lesson 1-2 vocabulary. spaced-review: มี spaced-review: รถ
M03-L004,M03,S1,A1,Building Simple Sentences,"Being, Identity, and Category",draft,Learner can say what someone or something is in terms of role or category.,Learner can recycle recent vocabulary while using role/category nouns in short controlled output.,เป็น versus คือ,role/category nouns,เป็น = to be / become; นักเรียน = student; ครู = teacher; หมอ = doctor; พนักงาน = employee; คนไทย = Thai person; คนต่างชาติ = foreigner,ฉันเป็นนักเรียน = I am a student; เขาเป็นหมอ = he/she is a doctor; นี่คือครูใหม่ = this is the new teacher,มัน = it; พวกเรา = we; มี = have / there is; ไม่มี = do not have / there is no; โต๊ะ = table; เก้าอี้ = chair,"Read simple role and category statements with เป็น and คือ.|Hear when Thai uses role nouns instead of adjective-like English patterns.|State jobs, roles, and basic identity categories.|",Role and category statements using เป็น and คือ.,,Vocabulary system lesson. Widen usable lexicon without adding major new complexity. spaced-review: นักเรียน spaced-review: ครู
M03-L005,M03,S1,A1,Building Simple Sentences,Adjectives and Degree,draft,Learner can describe objects and people with basic adjectives and simple intensifiers.,Learner can recycle recent vocabulary while using degree words like มาก in short controlled output.,adjective placement,degree words like มาก,ใหญ่ = big; เล็ก = small; ดี = good; สวย = beautiful; เร็ว = fast; ช้า = slow; มาก = very / a lot,อันนี้ใหญ่ = this one is big; ดีมาก = very good; ไม่เร็วมาก = not very fast,โต๊ะ = table; เก้าอี้ = chair; เป็น = to be / become; นักเรียน = student; ครู = teacher; หมอ = doctor,Read short adjective phrases attached to nouns and pronouns.|Recognize adjective meaning and strength in short descriptions.|Describe people and objects with one clear adjective.|,Basic adjective use and intensification with มาก.,,Vocabulary system lesson. Contrast and sort related items for fast retrieval. spaced-review: ช้า
M03-L006,M03,S1,A1,Building Simple Sentences,Negation in Real Use,draft,"Learner can negate simple statements, abilities, and qualities.",Learner can recycle recent vocabulary while using ยังไม่ for not yet in short controlled output.,ไม่ negation,ยังไม่ for not yet,ไม่ = not; ยัง = still / yet; ยังไม่ = not yet; อร่อย = delicious; แพง = expensive; ถูก = cheap / correct; ไหว = manage / cope,ไม่อร่อย = not delicious; ยังไม่พร้อม = not ready yet; ไม่ไหว = cannot handle it,ครู = teacher; หมอ = doctor; ใหญ่ = big; เล็ก = small; ดี = good; สวย = beautiful,"Read common negative forms and short comments.|Identify whether speakers are rejecting, delaying, or simply negating.|Use ไม่ and ยังไม่ in practical short sentences.|","Negation for statements, status, and readiness.",,Integration lesson. Fold prior vocabulary into short reading and speaking turns. sense-shift: ถูก
M03-L007,M03,S1,A1,Building Simple Sentences,"Thai Pronouns: You, I, and Kin Terms",draft,"You can address strangers with age-appropriate kin terms (พี่/น้อง/ป้า/ลุง) and refer to yourself the same way, instead of defaulting to คุณ / ฉัน.",You can still mark possession with ของ when naming family members or personal items.,kin-term pronoun system (พี่ / น้อง / ป้า / ลุง / ยาย / ตา) for self and address,possession with ของ (retained from displaced lesson),ของ = of / belonging to; แม่ = mother; พ่อ = father; พี่ = older sibling; น้อง = younger sibling; ลูก = child; แฟน = boyfriend / girlfriend,นี่ของฉัน = this is mine; พ่อของฉัน = my father; แฟนของเขา = his/her partner,ดี = good; สวย = beautiful; ไม่ = not; ยัง = still / yet; ยังไม่ = not yet; อร่อย = delicious,Read possessive phrases with ของ in short noun groups.|Recognize family and relationship references in slow speech.|Say whose item or family member you mean.|,pick the right kin-term pronoun for 8 stranger-age scenarios; 4 possession drills with ของ,,"Integration lesson. Push recall with slightly longer turns and lighter support. possession retained as secondary, family vocab absorbed here, classifier drill overflow to M03-L008. W2a-shell: old 'Possession and Family Relations'; possession retained as secondary, family vocab absorbed here, classifier drill overflow to M03-L008"
M03-L008,M03,S1,A1,Building Simple Sentences,Classifiers and Counting Objects,draft,Learner can count simple objects with the most useful beginner classifiers.,Learner can recycle recent vocabulary while using noun + number + classifier pattern in short controlled output.,classifier basics,noun + number + classifier pattern,อัน = general classifier; คน = classifier for people; ตัว = classifier for animals / body; เล่ม = classifier for books; ใบ = classifier for flat items / cups; คัน = classifier for vehicles; แก้ว = glass / cup; ลุง = uncle (father's older brother / any middle-aged man); ป้า = aunt (mother's older sister / any middle-aged woman); ยาย = maternal grandmother / elderly woman; ตา = maternal grandfather / elderly man,หนังสือหนึ่งเล่ม = one book; คนสองคน = two people; รถหนึ่งคัน = one car,ยังไม่ = not yet; อร่อย = delicious; ของ = of / belonging to; แม่ = mother; พ่อ = father; พี่ = older sibling,Read simple counted noun phrases with the correct classifier.|Hear number-classifier bundles as one unit in speech.|Count a few common objects and people correctly.|,Classifier basics for common everyday nouns.,,"Listening lesson. Focus on recognition in connected, more natural speech. spaced-review: คน. W6-insert: kin-term overflow from M03-L007 (compatible with classifier+family scope)"
M03-L009,M03,S1,A1,Building Simple Sentences,Simple Questions and Answers,draft,Learner can ask and answer short everyday questions using the structures already learned.,Learner can recycle recent vocabulary while using short answer patterns in short controlled output.,question formation without heavy inversion,short answer patterns,ไหม = question particle; หรือ = or / or else; ที่นี่ = here; ตอนนี้ = now; พร้อม = ready; หิว = hungry; ง่วง = sleepy,พร้อมไหม = are you ready?; หิวไหม = are you hungry?; ตอนนี้อยู่ที่นี่ไหม = are you here now?,พ่อ = father; พี่ = older sibling; อัน = general classifier; คน = classifier for people; ตัว = classifier for animals / body; เล่ม = classifier for books,Read very short question-particle lines confidently.|Recognize yes/no questions formed with ไหม in normal speech.|Ask and answer practical state questions naturally.|,Short question formation with ไหม and concise answers.,,Scenario production lesson. Require active use under realistic constraints. spaced-review: ที่นี่ spaced-review: ตอนนี้
M03-L010,M03,S1,A1,Building Simple Sentences,Module 3 Recap and Quiz,draft,Learner can consolidate beginner sentence building before moving into survival systems.,Learner can recycle recent vocabulary while using retrieval and reformulation in short controlled output.,mixed sentence review,retrieval and reformulation,ประโยค = sentence; ลำดับคำ = word order; บอก = tell / say; ถาม = ask; แก้ไข = correct / fix; เติม = fill in; เรียง = arrange,เรียงคำให้ถูก = put the words in order; เติมคำในช่องว่าง = fill in the blank; ถามแล้วตอบ = ask and answer,ตัว = classifier for animals / body; เล่ม = classifier for books; ไหม = question particle; หรือ = or / or else; ที่นี่ = here; ตอนนี้ = now,Read common quiz labels around sentence building.|Recognize mixed sentence types from lessons 1-9.|Produce short corrected sentences from prompts and cues.|,"Module-wide retrieval of identity, possession, adjectives, negation, and classifiers.",,"Recap lesson. Consolidate the module, route into module quiz, and tag flashcards."
M04-L001,M04,S2,A1,"Numbers, Time, Money, and Movement",Numbers 11 to 100 and Prices,draft,"Learner can say, hear, and understand common prices and higher beginner numbers.",Learner can recycle recent vocabulary while using price questions with เท่าไร in short controlled output.,compound number formation,price questions with เท่าไร; ordinal numbers with ที่,สิบ = ten; ยี่สิบ = twenty; สามสิบ = thirty; สี่สิบ = forty; ห้าสิบ = fifty; ร้อย = hundred; พัน = thousand; เท่าไหร่ = how much?,ราคาเท่าไร = how much is it?; หนึ่งร้อยบาท = one hundred baht; แพงไปหน่อย = a bit too expensive,อัน = general classifier; คน = classifier for people; ไหม = question particle; หรือ = or / or else; ประโยค = sentence; ลำดับคำ = word order,Read Thai number words beyond ten and common price expressions.|Recognize compound numbers in price talk.|Ask and answer simple price questions with confidence.|,Number formation and price comprehension.,,Entry dialogue lesson. Seed the module's central real-world situation with high-utility chunks.
M04-L002,M04,S2,A1,"Numbers, Time, Money, and Movement",Clock Time and Time of Day,draft,Learner can ask and tell the time using the most common everyday patterns.,Learner can recycle recent vocabulary while using time-of-day vocabulary in short controlled output.,time expressions,time-of-day vocabulary,โมง = o'clock (daytime); ทุ่ม = o'clock (evening); เช้า = morning; สาย = late morning; บ่าย = afternoon; เย็น = evening; คืน = night,กี่โมงแล้ว = what time is it?; ตอนเช้า = in the morning; บ่ายสามโมง = 3 p.m.,สิบ = ten; ยี่สิบ = twenty; สามสิบ = thirty; สี่สิบ = forty,Read simple time expressions and daypart words.|Catch time references in scheduling talk.|Say when something happens during the day.|,Clock-time patterns and daypart language.,,Primary pattern lesson. Keep output controlled and highly scaffolded.
